cores_normalized,threads_normalized,frequency_normalized,boost_frequency_normalized,cache_normalized,lithography_normalized,tdp_normalized
0.222,0.495,0.72,0.273,0.151,0.179,0.308
0.084,0.31,0.174,0.99,0.82,0.171,0.361
0.81,0.504,0.357,0.618,0.704,0.947,0.775
0.128,0.825,0.184,0.019,0.506,0.083,0.527
0.632,0.044,0.576,0.063,0.781,0.138,0.85
0.332,0.546,0.444,0.857,0.601,0.443,0.824
0.284,0.826,0.388,0.482,0.146,0.305,0.768
0.112,0.561,0.418,0.989,0.706,0.639,0.884
0.121,0.075,0.65,0.375,0.75,0.263,0.986
0.701,0.195,0.582,0.758,0.495,0.548,0.607
0.939,0.561,0.959,0.651,0.64,0.296,0.361
0.596,0.36,0.207,0.234,0.74,0.685,0.896
0.494,0.503,0.085,0.8,0.887,0.98,0.364
0.822,0.458,0.729,0.037,0.77,0.394,0.94
0.383,0.188,0.437,0.957,0.754,0.73,0.007
0.345,0.23,0.072,0.309,0.802,0.984,0.378
0.849,0.987,0.469,0.424,0.731,0.242,0.196
0.414,0.428,0.951,0.339,0.763,0.357,0.71
0.375,0.591,0.659,0.364,0.213,0.354,0.445
0.73,0.749,0.378,0.727,0.654,0.327,0.378
0.652,0.134,0.319,0.148,0.754,0.49,0.324
0.762,0.621,0.268,0.375,0.405,0.758,0.378
0.094,0.966,0.306,0.707,0.329,0.323,0.505
0.446,0.056,0.396,0.197,0.931,0.417,0.817
0.355,0.148,0.742,0.865,0.735,0.167,0.029
0.269,0.771,0.547,0.287,0.568,0.136,0.706
0.129,0.096,0.263,0.8,0.531,0.982,0.069
0.498,0.588,0.986,0.797,0.748,0.308,0.318
0.604,0.376,0.013,0.259,0.806,0.814,0.344
0.799,0.107,0.684,0.121,0.134,0.085,0.453
0.086,0.664,0.666,0.764,0.379,0.093,0.418
0.369,0.107,0.878,0.353,0.712,0.169,0.54
0.774,0.823,0.504,0.758,0.361,0.174,0.021
0.355,0.117,0.861,0.259,0.04,0.733,0.727
0.792,0.825,0.961,0.835,0.929,0.792,0.076
0.545,0.054,0.203,0.665,0.741,0.691,0.967
0.052,0.593,0.387,0.518,0.293,0.965,0.096
0.925,0.374,0.814,0.255,0.502,0.31,0.755
0.999,0.362,0.963,0.473,0.228,0.453,0.126
0.833,0.361,0.689,0.215,0.925,0.441,0.615
0.325,0.886,0.284,0.561,0.999,0.467,0.786
0.269,0.302,0.971,0.089,0.444,0.525,0.522
0.163,0.538,0.798,0.836,0.2,0.183,0.147
0.165,0.744,0.334,0.267,0.235,0.799,0.787
0.652,0.028,0.327,0.174,0.111,0.38,0.633
0.234,0.919,0.885,0.563,0.098,0.847,0.359
0.327,0.967,0.169,0.449,0.204,0.804,0.931
0.818,0.642,0.502,0.637,0.352,0.158,0.729
0.921,0.474,0.299,0.804,0.549,0.463,0.64
0.935,0.582,0.738,0.277,0.686,0.889,0.051
0.117,0.954,0.058,0.009,0.218,0.166,0.831
0.887,0.529,0.456,0.233,0.171,0.777,0.785
0.159,0.941,0.5,0.846,0.79,0.057,0.752
0.359,0.103,0.401,0.841,0.311,0.939,0.329
0.067,0.106,0.773,0.128,0.506,0.134,0.467
0.214,0.018,0.425,0.486,0.481,0.742,0.572
0.873,0.688,0.26,0.458,0.514,0.624,0.941
0.869,0.632,0.066,0.269,0.395,0.701,0.949
0.317,0.51,0.034,0.497,0.006,0.223,0.809
0.409,0.237,0.063,0.226,0.542,0.778,0.07
0.206,0.425,0.621,0.772,0.496,0.095,0.883
0.895,0.386,0.419,0.583,0.324,0.151,0.5
0.738,0.864,0.483,0.329,0.86,0.388,0.243
0.66,0.244,0.711,0.755,0.943,0.739,0.564
0.066,0.194,0.853,0.398,0.561,0.708,0.489
0.896,0.32,0.472,0.348,0.763,0.356,0.803
0.62,0.212,0.424,0.251,0.573,0.057,0.565
0.203,0.969,0.712,0.589,0.458,0.95,0.147
0.909,0.887,0.823,0.863,0.366,0.409,0.076
0.257,0.399,0.652,0.656,0.025,0.646,0.182
0.362,0.051,0.925,0.262,0.635,0.285,0.281
0.148,0.337,0.232,0.462,0.059,0.11,0.947
0.992,0.689,0.274,0.407,0.334,0.846,0.267
0.928,0.455,0.258,0.903,0.113,0.855,0.175
0.014,0.932,0.284,0.037,0.277,0.547,0.356
0.275,0.343,0.936,0.406,0.987,0.757,0.567
0.273,0.523,0.869,0.803,0.024,0.341,0.867
0.713,0.282,0.708,0.628,0.15,0.492,0.901
0.355,0.952,0.045,0.27,0.399,0.917,0.164
0.962,0.926,0.755,0.511,0.635,0.404,0.27
0.565,0.562,0.434,0.283,0.521,0.443,0.606
0.436,0.272,0.577,0.461,0.223,0.267,0.617
0.395,0.23,0.198,0.471,0.021,0.446,0.762
0.374,0.988,0.597,0.35,0.729,0.708,0.267
0.213,0.295,0.102,0.624,0.177,0.014,0.952
0.815,0.067,0.531,0.469,0.744,0.109,0.204
0.014,0.16,0.62,0.6,0.807,0.35,0.975
0.082,0.26,0.77,0.508,0.992,0.169,0.879
0.953,0.756,0.28,0.526,0.184,0.465,0.101
0.249,0.984,0.174,0.123,0.314,0.503,0.578
0.63,0.202,0.977,0.204,0.108,0.596,0.081
0.945,0.985,0.226,0.35,0.729,0.772,0.159
0.694,0.76,0.361,0.719,0.788,0.499,0.171
0.324,0.914,0.796,0.089,0.922,0.595,0.596
0.512,0.579,0.63,0.413,0.366,0.334,0.375
0.181,0.649,0.105,0.288,0.774,0.816,0.32
0.86,0.117,0.759,0.036,0.503,0.902,0.068
0.52,0.81,0.184,0.573,0.095,0.987,0.591
0.907,0.214,0.113,0.254,0.166,0.048,0.825
0.416,0.964,0.278,0.402,0.022,0.705,0.084
0.465,0.818,0.523,0.154,0.035,0.161,0.339
0.137,0.726,0.486,0.953,0.086,0.55,0.196
0.818,0.052,0.17,0.529,0.927,0.29,0.3
0.407,0.145,0.733,0.785,0.917,0.712,0.365
0.156,0.01,0.999,0.507,0.462,0.567,0.778
0.96,0.929,0.986,0.536,0.324,0.517,0.72
0.245,0.923,0.446,0.341,0.768,0.513,0.126
0.174,0.58,0.096,0.273,0.292,0.153,0.054
0.715,0.485,0.681,0.498,0.14,0.474,0.391
0.761,0.957,0.422,0.246,0.311,0.34,0.948
0.005,0.402,0.328,0.995,0.455,0.677,0.895
0.845,0.168,0.427,0.977,0.915,0.475,0.71
0.483,0.759,0.944,0.977,0.606,0.983,0.66
0.011,0.108,0.712,0.09,0.76,0.962,0.791
0.941,0.744,0.51,0.086,0.257,0.301,0.304
0.699,0.563,0.71,0.18,0.775,0.282,0.109
0.849,0.238,0.492,0.638,0.465,0.451,0.067
0.125,0.021,0.347,0.003,0.043,0.037,0.5
0.834,0.649,0.76,0.367,0.556,0.47,0.761
0.841,0.02,0.318,0.926,0.251,0.244,0.621
0.613,0.95,0.166,0.094,0.396,0.816,0.364
0.083,0.158,0.101,0.728,0.579,0.056,0.15
0.011,0.312,0.168,0.813,0.611,0.486,0.362
0.699,0.851,0.828,0.414,0.323,0.521,0.13
0.668,0.501,0.348,0.831,0.872,0.093,0.774
0.583,0.067,0.927,0.601,0.009,0.626,0.356
0.373,0.263,0.806,0.081,0.904,0.496,0.513
0.51,0.619,0.423,0.905,0.889,0.819,0.443
0.528,0.649,0.905,0.395,0.965,0.064,0.216
0.554,0.055,0.191,0.355,0.804,0.911,0.506
0.908,0.938,0.663,0.129,0.315,0.822,0.731
0.453,0.346,0.477,0.187,0.127,0.169,0.21
0.267,0.381,0.571,0.19,0.423,0.553,0.553
0.926,0.084,0.32,0.261,0.191,0.571,0.738
0.622,0.524,0.067,0.116,0.18,0.339,0.158
0.986,0.339,0.54,0.649,0.965,0.562,0.959
0.774,0.183,0.639,0.556,0.76,0.804,0.461
0.042,0.079,0.624,0.457,0.81,0.786,0.283
0.829,0.082,0.536,0.324,0.61,0.757,0.06
0.485,0.998,0.114,0.761,0.578,0.249,0.51
0.87,0.406,0.73,0.216,0.608,0.946,0.852
0.06,0.182,0.567,0.764,0.518,0.738,0.266
0.345,0.184,0.066,0.026,0.485,0.978,0.171
0.835,0.035,0.767,0.075,0.031,0.891,0.343
0.706,0.021,0.487,0.374,0.393,0.319,0.811
0.538,0.317,0.575,0.975,0.418,0.768,0.913
0.346,0.915,0.585,0.682,0.652,0.255,0.55
0.755,0.668,0.79,0.692,0.586,0.642,0.101
0.525,0.997,0.569,0.538,0.128,0.771,0.061
0.203,0.664,0.616,0.597,0.623,0.139,0.551
0.351,0.475,0.749,0.91,0.308,0.496,0.057
0.771,0.96,0.526,0.704,0.211,0.505,0.589
0.633,0.983,0.74,0.121,0.076,0.921,0.993
0.104,0.369,0.917,0.502,0.914,0.075,0.186
0.644,0.517,0.379,0.843,0.983,0.266,0.939
0.865,0.666,0.414,0.99,0.139,0.077,0.105
0.186,0.925,0.797,0.733,0.86,0.387,0.446
0.612,0.51,0.4,0.128,0.346,0.62,0.432
0.712,0.946,0.511,0.06,0.997,0.573,0.874
0.38,0.04,0.05,0.311,0.597,0.254,0.626
0.089,0.398,0.958,0.271,0.668,0.462,0.236
0.58,0.676,0.33,0.24,0.928,0.708,0.582
0.082,0.656,0.615,0.104,0.45,0.975,0.366
0.934,0.139,0.557,0.495,0.228,0.548,0.506
0.671,0.568,0.741,0.177,0.368,0.916,0.127
0.475,0.254,0.739,0.353,0.682,0.382,0.131
0.146,0.654,0.386,0.245,0.35,0.358,0.313
0.122,0.181,0.03,0.018,0.839,0.67,0.295
0.217,0.213,0.167,0.018,0.423,0.695,0.22
0.466,0.808,0.579,0.087,0.691,0.611,0.591
0.182,0.885,0.67,0.686,0.527,0.618,0.382
0.135,0.978,0.504,0.325,0.419,0.655,0.363
0.057,0.205,0.943,0.728,0.758,0.06,0.197
0.505,0.881,0.562,0.101,0.396,0.122,0.298
0.583,0.171,0.618,0.156,0.352,0.578,0.039
0.623,0.027,0.702,0.189,0.579,0.802,0.617
0.733,0.705,0.038,0.586,0.429,0.562,0.223
0.133,0.485,0.826,0.653,0.674,0.258,0.311
0.058,0.842,0.359,0.545,0.595,0.881,0.958
0.239,0.718,0.008,0.801,0.531,0.438,0.196
0.894,0.953,0.372,0.07,0.644,0.398,0.033
0.021,0.607,0.176,0.763,0.85,0.425,0.151
0.523,0.603,0.637,0.333,0.315,0.223,0.783
0.4,0.678,0.109,0.887,0.205,0.487,0.415
0.433,0.787,0.264,0.544,0.398,0.522,0.927
0.398,0.404,0.543,0.737,0.598,0.096,0.08
0.946,0.06,0.319,0.524,0.151,0.745,0.093
0.66,0.245,0.785,0.926,0.457,0.702,0.006
0.795,0.454,0.158,0.631,0.389,0.404,0.542
0.683,0.972,0.624,0.785,0.346,0.54,0.314
0.7,0.632,0.701,0.439,0.815,0.033,0.92
0.41,0.327,0.914,0.284,0.329,0.87,0.324
0.479,0.844,0.161,0.77,0.056,0.742,0.851
0.539,0.463,0.341,0.767,0.774,0.663,0.04
0.749,0.576,0.984,0.739,0.434,0.955,0.448
0.891,0.727,0.853,0.338,0.151,0.239,0.901
0.365,0.971,0.606,0.885,0.711,0.562,0.245
0.625,0.892,0.338,0.902,0.648,0.556,0.244
0.602,0.492,0.019,0.505,0.55,0.528,0.859
0.708,0.806,0.153,0.947,0.772,0.913,0.806
0.84,0.888,0.046,0.08,0.5,0.29,0.593
0.072,0.369,0.112,0.863,0.333,0.409,0.958
0.99,0.858,0.429,0.773,0.098,0.888,0.113
0.724,0.792,0.427,0.287,0.961,0.871,0.688
0.015,0.318,0.591,0.911,0.427,0.759,0.548
0.664,0.437,0.369,0.863,0.706,0.485,0.067
0.792,0.527,0.598,0.299,0.046,0.507,0.865
0.513,0.695,0.205,0.842,0.72,0.916,0.995
0.029,0.078,0.911,0.928,0.785,0.2,0.412
0.231,0.481,0.976,0.595,0.29,0.337,0.275
0.094,0.299,0.603,0.23,0.23,0.822,0.586
0.585,0.004,0.855,0.168,0.794,0.248,0.508
0.469,0.214,0.541,0.573,0.8,0.211,0.656
0.75,0.768,0.488,0.238,0.576,0.493,0.577
0.527,0.566,0.721,0.301,0.349,0.506,0.263
0.366,0.542,0.304,0.441,0.895,0.879,0.687
0.217,0.017,0.319,0.16,0.076,0.441,0.418
0.269,0.258,0.143,0.17,0.279,0.301,0.18
0.381,0.708,0.642,0.51,0.601,0.187,0.311
0.295,0.475,0.475,0.776,0.899,0.386,0.792
0.009,0.244,0.535,0.747,0.838,0.635,0.481
0.581,0.421,0.105,0.722,0.506,0.946,0.397
0.45,0.847,0.245,0.79,0.993,0.42,0.688
0.95,0.516,0.76,0.951,0.262,0.71,0.843
0.471,0.52,0.871,0.195,0.818,0.178,0.222
0.279,0.588,0.862,0.544,0.531,0.39,0.519
0.543,0.261,0.53,0.518,0.196,0.402,0.023
0.119,0.579,0.916,0.423,0.872,0.671,0.063
0.874,0.923,0.387,0.42,0.651,0.977,0.909
0.216,0.368,0.717,0.932,0.069,0.349,0.705
0.257,0.563,0.031,0.768,0.138,0.529,0.098
0.466,0.128,0.098,0.194,0.606,0.792,0.846
0.142,0.811,0.479,0.698,0.999,0.196,0.165
0.607,0.771,0.82,0.427,0.795,0.921,0.106
0.58,0.675,0.025,0.038,0.178,0.83,0.038
0.354,0.1,0.707,0.155,0.4,0.066,0.443
0.163,0.481,0.775,0.643,0.383,0.393,0.753
0.121,0.13,0.701,0.739,0.001,0.265,0.067
0.803,0.382,0.481,0.912,0.203,0.01,0.573
0.91,0.463,0.897,0.219,0.83,0.22,0.17
0.457,0.934,0.378,0.142,0.631,0.931,0.569
0.881,0.655,0.387,0.689,0.675,0.979,0.71
0.397,0.206,0.379,0.164,0.048,0.519,0.937
0.858,0.398,0.308,0.317,0.493,0.576,0.439
0.702,0.931,0.781,0.504,0.83,0.927,0.548
0.379,0.103,0.363,0.386,0.068,0.742,0.363
0.744,0.389,0.206,0.143,0.692,0.198,0.651
0.48,0.855,0,0.383,0.615,0.484,0.833
0.995,0.718,0.964,0.454,0.685,0.297,0.249
0.321,0.554,0.103,0.121,0.899,0.348,0.638
0.63,0.225,0.984,0.604,0.442,0.262,0.026
0.531,0.133,0.793,0.662,0.679,0.318,0.526
0.139,0.928,0.488,0.363,0.895,0.214,0.154
0.411,0.464,0.577,0.173,0.704,0.269,0.544
0.567,0.755,0.3,0.604,0.039,0.616,0.774
0.761,0.044,0.965,0.495,0.403,0.957,0.27
0.428,0.467,0.044,0.898,0.44,0.964,0.755
0.525,0.308,0.682,0.375,0.718,0.994,0.254
0.931,0.794,0.195,0.159,0.388,0.498,0.566
0.108,0.72,0.267,0.3,0.29,0.543,0.199
0.919,0.859,0.33,0.34,0.848,0.249,0.118
0.584,0.148,0.293,0.009,0.941,0.635,0.614
0.602,0.003,0.326,0.223,0.603,0.432,0.324
0.932,0.927,0.944,0.321,0.62,0.513,0.648
0.823,0.115,0.55,0.696,0.388,0.713,0.283
0.497,0.977,0.828,0.492,0.406,0.976,0.884
0.927,0.034,0.128,0.509,0.408,0.459,0.054
0.537,0.522,0.623,0.163,0.354,0.361,0.512
0.656,0.399,0.468,0.293,0.226,0.145,0.135
0.09,0.231,0.224,0.106,0.006,0.577,0.208
0.401,0.681,0.609,0.26,0.418,0.079,0.77
0.393,0.617,0.151,0.287,0.177,0.793,0.525
0.382,0.072,0.82,0.608,0.53,0.372,0.898
0.049,0.98,0.506,0.691,0.18,0.793,0.789
0.918,0.347,0.643,0.491,0.123,0.598,0.296
0.955,0.498,0.603,0.353,0.007,0.219,0.598
0.845,0.637,0.9,0.481,0.863,0.557,0.917
0.274,0.147,0.545,0.87,0.832,0.465,0.879
0.331,0.142,0.876,0.791,0.555,0.61,0.781
0.051,0.189,0.658,0.383,0.771,0.174,0.149
0.925,0.838,0.962,0.608,0.596,0.381,0.521
0.103,0.526,0.94,0.162,0.541,0.406,0.471
0.593,0.348,0.152,0.001,0.269,0.281,0.132
0.598,0.672,0.963,0.798,0.697,0.06,0.559
0.606,0.954,0.697,0.456,0.598,0.536,0.866
0.649,0.112,0.894,0.825,0.847,0.561,0.933
0.916,0.868,0.276,0.418,0.705,0.745,0.051
0.39,0.402,0.123,0.374,0.859,0.373,0.913
0.123,0.022,0.739,0.712,0.701,0.263,0.596
0.358,0.134,0.928,0.999,0.78,0.822,0.201
0.19,0.641,0.798,0.527,0.073,0.812,0.227
0.325,0.794,0.777,0.681,0.076,0.591,0.283
0.985,0.238,0.954,0.222,0.38,0.924,0.455
0.104,0.397,0.856,0.176,0.856,0.97,0.637
0.374,0.326,0.211,0.047,0.507,0.768,0.833
0.051,0.844,0.209,0.774,0.842,0.185,0.083
0.629,0.119,0.188,0.963,0.706,0.798,0.636
0.144,0.396,0.274,0.293,0.36,0.528,0.302
0.706,0.201,0.021,0.15,0.577,0.45,0.469
0.263,0.09,0.409,0.223,0.286,0.873,0.319
0.638,0.976,0.886,0.851,0.718,0.181,0.866
0.882,0.506,0.64,0.482,0.943,0.083,0.555
0.586,0.73,0.167,0.213,0.385,0.518,0.85
0.501,0.574,0.588,0.618,0.552,0.408,0.82
0.13,0.028,0.579,0.704,0.358,0.053,0.62
0.46,0.514,0.354,0.727,0.28,0.227,0.643
0.266,0.325,0.811,0.161,0.825,0.341,0.788
0.623,0.347,0.707,0.93,0.772,0.496,0.044
0.286,0.433,0.397,0.572,0.095,0.768,0.155
0.255,0.854,0.077,0.264,0.256,0.273,0.096
0.13,0.138,0.379,0.846,0.776,0.675,0.298
0.843,0.84,0.139,0.584,0.362,0.42,0.993
0.171,0.205,0.796,0.492,0.184,0.033,0.866
0.624,0.462,0.615,0.531,0.041,0.868,0.252
0.638,0.419,0.001,0.817,0.928,0.013,0.758
0.54,0.538,0.378,0.338,0.966,0.666,0.664
0.493,0.032,0.105,0.75,0.808,0.401,0.287
0.445,0.256,0.41,0.668,0.415,0.919,0.849
0.273,0.248,0.693,0.336,0.107,0.426,0.47
0.708,0.943,0.428,0.898,0.884,0.55,0.807
0.883,0.88,0.526,0.525,0.625,0.096,0.375
0.717,0.021,0.738,0.582,0.762,0.269,0.155
0.771,0.535,0.863,0.091,0.772,0.95,0.309
0.697,0.603,0.418,0.07,0.546,0.638,0.01
0.218,0.825,0.634,0.391,0.532,0.106,0.146
0.03,0.195,0.359,0.384,0.818,0.133,0.164
0.914,0.679,0.532,0.003,0.344,0.621,0.357
0.212,0.117,0.963,0.012,0.521,0.266,0.11
0.057,0.724,0.59,0.189,0.211,0.408,0.626
0.784,0.798,0.606,0.727,0.27,0.003,0.638
0.348,0.139,0.619,0.845,0.218,0.653,0.144
0.634,0.268,0.832,0.68,0.355,0.806,0.881
0.837,0.271,0.112,0.628,0.765,0.931,0.671
0.48,0.235,0.884,0.313,0.489,0.487,0.385
0.232,0.402,0.406,0.372,0.657,0.315,0.868
0.497,0.349,0.178,0.244,0.155,0.973,0.736
0.896,0.715,0.01,0.454,0.314,0.192,0.818
0.925,0.303,0.927,0.985,0.391,0.213,0.19
0.603,0.223,0.14,0.148,0.126,0.226,0.865
0.187,0.427,0.121,0.767,0.533,0.295,0.415
0.574,0.516,0.399,0.495,0.281,0.141,0.999
0.506,0.645,0.327,0.737,0.74,0.164,0.922
0.823,0.438,0.491,0.311,0.954,0.077,0.458
0.162,0.758,0.333,0.628,0.62,0.783,0.58
0.684,0.081,0.178,0.614,0.209,0.453,0.515
0.748,0.247,0.077,0.216,0.21,0.912,0.693
0.835,0.041,0.012,0.694,0.776,0.658,0.146
0.032,0.101,0.933,0.438,0.042,0.355,0.459
0.706,0.075,0.024,0.286,0.399,0.923,0.047
0.11,0.683,0.847,0.052,1,0.299,0.441
0.302,0.219,0.449,0.42,0.558,0.278,0.295
0.216,0.093,0.336,0.639,0.089,0.577,0.521
0.207,0.537,0.443,0.892,0.117,0.162,0.024
0.579,0.036,0.498,0.155,0.937,0,0.846
0.261,0.177,0.293,0.988,0.067,0.901,0.781
0.461,0.101,0.165,0.655,0.509,0.712,0.381
0.746,0.309,0.972,0.68,0.917,0.13,0.212
0.039,0.634,0.266,0.144,0.003,0.283,0.428
0.106,0.375,0.683,0.923,0.681,0.551,0.855
0.307,0.464,0.795,0.643,0.656,0.324,0.241
0.235,0.889,0.533,0.744,0.31,0.987,0.447
0.99,0.003,0.54,0.584,0.631,0.001,0.856
0.09,0.051,0.296,0.598,0.934,0.764,0.813
0.075,0.765,0.457,0.853,0.418,0.345,0.904
0.074,0.899,0.46,0.996,0,0.279,0.291
0.997,0.362,0.768,0.842,0.366,0.799,0.772
0.651,0.689,0.188,0.436,0.952,0.985,0.754
0.156,0.38,0.777,0.343,0.332,0.669,0.683
0.905,0.403,0.55,0.593,0.655,0.585,0.404
0.83,0.925,0.264,0.096,0.733,0.254,0.432
0.847,0.855,0.37,0.042,0.059,0.871,0.87
0.685,0.639,0.41,0.276,0.166,0.747,0.384
0.076,0.061,0.131,0.824,0.655,0.882,0.452
0.134,0.864,0.371,0.559,0.758,0.827,0.985
0.734,0.087,0.606,0.522,0.15,0.179,0.632
0.77,0.731,0.197,0.567,0.781,0.537,0.608
0.004,0.4,0.345,0.102,0.384,0.702,0.065
0.29,0.324,0.1,0.38,0.253,0.915,0.744
0.128,0.032,0.752,0.931,0.006,0.526,0.198
0.869,0.007,0.822,0.757,0.803,0.616,0.077
0.025,0.335,0.812,0.639,0.504,0.037,0.724
0.133,0.468,0.243,0.366,0.723,0.328,0.927
0.95,0.805,0.861,0.379,0.429,0.748,0.876
0.84,0.316,0.325,0.751,0.545,0.601,0.816
0.283,0.313,0.296,0.455,0.052,0.564,0.024
0.509,0.583,0.454,0.791,0.54,0.396,0.654
0.574,0.807,0.88,0.625,0.852,0.616,0.891
0.348,0.089,0.399,0.988,0.701,0.083,0.497
0.322,0.168,0.04,0.917,0.515,0.954,0.728
0.615,0.407,0.718,0.074,0.937,0.874,0.204
0.824,0.361,0.295,0.101,0.749,0.118,0.797
0.7,0.013,0.319,0.855,0.53,0.615,0.231
0.978,0.97,0.814,0.096,0.63,0.883,0.689
0.928,0.717,0.238,0.584,0.711,0.16,0.25
0.279,0.538,0.07,0.495,0.871,0.627,0.646
0.389,0.31,0.637,0.584,0.339,0.076,0.508
0.402,0.58,0.153,0.547,0.823,0.437,0.037
0.634,0.962,0.318,0.687,0.967,0.144,0.687
0.458,0.317,0.5,0.029,0.65,0.699,0.453
0.868,0.229,0.523,0.995,0.066,0.192,0.462
0.151,0.309,0.421,0.507,0.26,0.008,0.954
0.419,0.772,0.536,0.644,0.215,0.638,0.436
0.843,0.316,0.314,0.507,0.395,0.773,0.034
0.639,0.552,0.103,0.146,0.359,0.367,0.466
0.25,0.365,0.787,0.615,0.836,0.734,0.894
0.845,0.23,0.877,0.739,0.128,0.252,0.606
0.336,0.038,0.664,0.841,0.087,0.562,0.621
0.74,0.311,0.547,0.297,0.032,0.162,0.778
0.83,0.094,0.677,0.751,0.983,0.658,0.446
0.372,0.227,0.068,0.172,0.389,0.258,0.711
0.679,0.614,0.045,0.051,0.072,0.061,0.846
0.388,0.789,0.699,0.906,0.779,0.264,0.926
0.376,0.056,0.011,0.914,0.751,0.061,0.291
0.34,0.158,0.355,0.8,0.051,0.395,0.924
0.667,0.805,0.412,0.823,0.446,0.468,0.386
0.527,0.063,0.516,0.894,0.742,0.975,0.251
0.964,0.772,0.079,0.908,0.031,0.996,0.333
0.019,0.995,0.232,0.801,0.877,0.221,0.636
0.669,0.498,0.157,0.637,0.802,0.907,0.795
0.619,0.749,0.098,0.908,0.698,0.85,0.987
0.821,0.41,0.53,0.715,0.375,0.827,0.467
0.102,0.335,0.983,0.507,0.968,0.74,0.317
0.955,0.378,0.852,0.193,0.456,0.922,0.545
0.821,0.031,0.446,0.259,0.562,0.17,0.287
0.488,0.244,0.995,0.305,0.2,0.765,0.871
0.894,0.264,0.471,0.395,0.284,0.434,0.302
0.011,0.431,0.752,0.789,0.896,0.28,0.588
0.571,0.405,0.015,0.368,0.665,0.332,0.759
0.88,0.2,0.798,0.155,0.424,0.248,0.691
0.497,0.514,0.68,0.729,0.242,0.793,0.361
0.024,0.757,0.664,0.359,0.468,0.238,0.689
0.552,0.92,0.626,0.95,0.638,0.967,0.75
0.859,0.035,0.316,0.986,0.863,0.576,0.635
0.971,0.447,0.849,0.703,0.384,0.81,0.209
0.685,0.512,0.928,0.735,0.16,0.819,0.273
0.606,0.395,0.786,0.307,0.279,0.566,0.27
0.313,0.979,0.273,0.157,0.479,0.232,0.31
0.889,0.362,0.44,0.406,0.831,0.415,0.626
0.08,0.361,0.761,0.635,0.124,0.04,0.961
0.173,0.523,0.25,0.096,0.877,0.943,0.87
0.002,0.9,0.769,0.633,0.296,0.628,0.862
0.526,0.736,0.748,0.74,0.788,0.422,0.447
0.209,0.664,0.246,0.079,0.232,0.513,0.481
0.291,0.201,0.797,0.044,0.113,0.65,0.359
0.697,0.869,0.838,0.313,0.179,0.669,0.289
0.638,0.263,0.016,0.522,0.216,0.112,0.987
0.29,0.825,0.122,0.504,0.946,0.753,0.34
0.425,0.931,0.521,0.621,0.897,0.303,0.733
0.33,0.002,0.083,0.424,0.244,0.002,0.788
0.22,0.162,0.662,0.431,0.756,0.699,0.015
0.903,0.119,0.829,0.04,0.567,0.872,0.918
0.866,0.148,0.936,0.794,0.095,0.543,0.663
0.08,0.861,0.02,0.585,0.786,0.13,0.297
0.818,0.817,0.4,0.403,0.667,0.038,0.672
0.607,0.519,0.984,0.963,0.893,0.98,0.139
0.64,0.542,0.455,0.729,0.867,0.888,0.705
0.152,0.499,0.523,0.266,0.657,0.219,0.262
0.015,0.828,0.305,0.307,0.58,0.261,0.564
0.545,0.932,0.483,0.905,0.905,0.084,0.472
0.08,0.485,0.839,0.394,0.901,0.208,0.34
0.369,0.921,0.623,0.6,0.541,0.285,0.456
0.062,0.711,0.662,0.556,0.234,0.885,0.222
0.275,0.551,0.521,0.425,0.793,0.165,0.213
0.763,0.349,0.735,0.1,0.593,0.83,0.556
0.02,0.896,0.833,0.012,0.159,0.211,0.034
0.278,0.283,0.951,0.77,0.301,0.853,0.201
0.962,0.343,0.512,0.838,0.131,0.031,0.438
0.894,0.991,0.003,0.478,0.117,0.656,0.799
0.524,0.029,0.205,0.62,0.445,0.964,0.146
0.215,0.138,0.709,0.113,0.298,0.634,0.292
0.933,0.738,0.751,0.131,0.365,0.996,0.536
0.956,0.381,0.025,0.418,0.311,0.984,0.401
0.086,0.274,0.789,0.589,0.906,0.125,0.543
0.71,0.443,0.092,0.288,0.281,0.789,0.236
0.302,0.741,0.278,0.911,0.12,0.359,0.863
0.481,0.584,0.323,0.267,0.898,0.059,0.183
0.498,0.914,0.854,0.931,0.848,0.714,0.154
0.879,0.18,0.728,0.2,0.414,0.456,0.319
0.856,0.969,0.346,0.742,0.443,0.264,0.71
0.519,0.627,0.957,0.837,0.764,0.383,0.934
0.669,0.96,0.392,0.606,0.778,0.575,0.583
0.831,0.51,0.77,0.622,0.255,0.277,0.615
0.805,0.28,0.939,0.632,0.153,0.088,0.919
0.772,0.289,0.552,0.976,0.068,0.984,0.6
0.141,0.824,0.643,0.363,0.252,0.688,0.254
0.229,0.23,0.381,0.472,0.867,0.011,0.781
0.53,0.864,0.564,0.12,0.79,0.844,0.287
0.592,0.047,0.875,0.457,0.855,0.112,0.345
0.981,0.194,0.698,0.882,0.293,0.092,0.742
0.113,0.332,0.162,0.784,0.291,0.639,0.836
0.766,0.388,0.722,0.248,0.065,0.182,0.124
0.069,0.751,0.797,0.699,0.495,0.73,0.517
0.04,0.251,0.273,0.66,0.486,0.656,0.002
0.948,0.939,0.42,0.551,0.477,0.58,0.946
0.887,0.845,0.378,0.342,0.622,0.935,0.365
0.745,0.622,0.958,0.799,0.581,0.266,0.091
0.49,0.726,0.896,0.887,0.793,0.679,0.127
0.491,0.509,0.664,0.343,0.777,0.661,0.111
